Año,Mes,Día,Max_T,Min_T,Av_Temp,Hi_speed,Bar  ,Rain,Rain_rate,UV_index,Solar_rad
2018,1,11,"28,90","12,30","19,95","29,00","908,78","0,00","0,00","11,00","340,60"
2018,1,12,"20,70","13,00","17,14","32,20","909,01","0,00","0,00","12,00","277,29"
2018,1,13,"24,90","4,60","15,38","16,10","913,31","0,00","0,00","10,50","339,02"
2018,1,14,"28,40","7,50","17,35","20,90","908,05","0,00","0,00","10,00","325,29"
2018,1,15,"21,20","13,90","17,63","32,20","908,61","0,00","0,00","10,30","296,94"
2018,1,16,"22,00","10,20","15,86","27,40","912,65","0,00","0,00","9,50","327,79"
2018,1,17,"21,60","12,30","16,88","25,70","913,65","0,00","0,00","9,70","318,98"
2018,1,18,"26,40","12,20","17,89","19,30","913,92","0,00","0,00","10,10","293,81"
2018,1,19,"28,70","11,40","19,62","22,50","910,85","0,00","0,00","10,10","304,73"
2018,1,20,"29,80","14,40","21,52","37,00","905,20","0,00","0,00","10,00","295,44"
2018,1,21,"27,00","17,80","21,50","32,20","903,49","0,00","0,00","9,30","286,52"
2018,1,22,"23,40","12,70","18,11","38,60","903,03","0,20","0,00","9,80","317,04"
2018,1,23,"22,60","11,80","16,66","25,70","906,72","0,00","0,00","9,20","314,52"
2018,1,24,"26,50","6,90","17,33","35,40","909,80","0,00","0,00","8,60","269,10"
2018,1,25,"26,60","12,80","19,76","22,50","907,51","0,00","0,00","8,50","281,48"
2018,1,26,"20,30","12,20","16,10","45,10","906,55","0,00","0,00","9,50","288,27"
2018,1,27,"18,00","12,70","15,04","38,60","909,96","0,00","0,00","9,40","302,75"
2018,1,28,"26,10","8,20","16,21","24,10","910,09","0,00","0,00","9,60","312,35"
2018,1,29,"26,50","7,30","16,20","32,20","902,71","0,00","0,00","9,60","304,96"
2018,1,30,"18,40","12,70","16,18","40,20","907,38","0,00","0,00","9,90","309,35"
2018,1,31,"27,70","4,40","15,44","16,10","915,18","0,00","0,00","9,30","301,44"
2018,2,1,"28,90","7,60","17,39","8,00","910,90","0,00","0,00","9,30","292,44"
2018,2,2,"33,60","11,80","22,05","20,90","905,97","0,00","0,00","9,10","283,77"
2018,2,3,"31,40","13,40","21,23","25,70","905,72","0,00","0,00","9,10","287,44"
2018,2,4,"30,90","12,60","20,52","24,10","908,95","0,00","0,00","9,50","296,60"
2018,2,5,"32,00","9,60","20,00","19,30","907,48","0,00","0,00","9,70","288,67"
2018,2,6,"22,60","14,80","17,87","48,30","905,47","0,00","0,00","8,10","156,71"
2018,2,7,"22,40","11,80","16,77","32,20","909,62","0,00","0,00","9,10","284,19"
2018,2,8,"16,40","10,90","14,39","48,30","907,37","0,20","0,00","6,20","112,33"
2018,2,9,"12,60","9,30","10,82","40,20","911,54","0,00","0,00","4,50","102,92"
2018,2,10,"17,60","8,20","12,72","32,20","915,42","0,00","0,00","7,40","278,73"
2018,2,11,"23,60","3,60","12,91","25,70","918,93","0,00","0,00","8,10","269,75"
2018,2,12,"27,80","5,60","15,84","16,10","912,46","0,00","0,00","8,80","279,44"
2018,2,13,"30,70","7,90","17,94","16,10","909,30","0,00","0,00","7,90","278,67"
2018,2,14,"29,10","12,20","19,89","19,30","908,47","0,00","0,00","8,50","273,54"
2018,2,15,"30,90","10,40","19,43","20,90","907,93","0,00","0,00","8,30","267,42"
2018,2,16,"27,10","13,50","20,16","20,90","910,82","0,00","0,00","8,50","249,81"
2018,2,17,"26,80","14,60","20,27","30,60","907,98","0,00","0,00","8,30","225,31"
2018,2,18,"20,70","14,40","18,09","46,70","903,88","0,00","0,00","8,30","221,48"
2018,2,19,"20,70","12,30","16,51","37,00","905,43","0,40","0,23","8,40","214,96"
2018,2,20,"20,90","9,80","15,72","29,00","910,30","0,00","0,00","8,00","268,67"
2018,2,21,"19,60","10,30","14,52","29,00","912,08","0,00","0,00","6,30","143,00"
2018,2,22,"20,90","12,30","15,21","27,40","913,30","22,20","1,82","5,10","82,06"
2018,2,23,"15,10","10,80","13,09","29,00","915,61","3,60","0,24","2,80","57,98"
2018,2,24,"22,40","13,30","16,40","19,30","913,88","0,00","0,00","8,20","174,33"
2018,2,25,"26,90","13,10","17,85","17,70","912,11","0,00","0,00","8,00","246,81"
2018,2,26,"24,70","12,40","18,11","20,90","909,88","0,00","0,00","8,40","231,15"
2018,2,27,"25,90","10,40","17,49","17,70","910,52","0,00","0,00","8,10","249,21"
2018,2,28,"23,70","12,30","17,87","29,00","909,89","0,00","0,00","8,20","249,15"
2018,3,1,"25,90","14,30","18,94","20,90","910,76","0,00","0,00","7,80","246,48"
2018,3,2,"26,10","12,40","18,08","19,30","909,57","0,00","0,00","7,80","242,25"
2018,3,3,"22,60","12,70","17,38","35,40","907,48","0,00","0,00","7,90","237,25"
2018,3,4,"17,20","12,20","14,76","32,20","910,59","1,80","0,18","7,20","225,02"
2018,3,5,"22,90","4,80","13,06","16,10","916,14","0,00","0,00","7,30","235,25"
2018,3,6,"28,40","6,20","15,87","24,10","912,14","0,00","0,00","7,60","231,69"
2018,3,7,"28,20","7,50","16,56","20,90","907,12","0,00","0,00","7,80","226,29"
2018,3,8,"23,10","14,40","18,97","32,20","905,50","0,00","0,00","7,10","178,23"
2018,3,9,"18,20","9,30","14,15","25,70","905,12","2,00","0,03","4,40","75,50"
2018,3,10,"13,60","6,10","10,01","29,00","913,41","0,40","0,00","6,70","189,69"
2018,3,11,"15,90","8,80","12,06","35,40","912,02","2,40","0,15","6,30","141,35"
2018,3,12,"13,50","8,20","10,74","40,20","907,52","7,20","0,85","5,40","107,92"
2018,3,13,"13,70","7,80","10,62","35,40","910,47","0,00","0,00","7,10","203,33"
2018,3,14,"11,90","6,80","9,66","59,50","906,64","10,60","0,94","4,30","99,06"
2018,3,15,"16,70","5,40","11,13","35,40","909,00","0,00","0,00","6,70","212,42"
2018,3,16,"14,30","7,50","12,56","30,60","901,26","28,60","1,78","1,70","52,69"
2018,3,17,"11,20","6,70","8,44","35,40","905,84","17,80","1,42","2,40","60,31"
2018,3,18,"12,10","8,30","9,75","33,80","914,51","0,00","0,00","6,40","197,67"
2018,3,19,"15,70","5,90","10,73","35,40","911,29","0,00","0,00","6,10","212,04"
2018,3,20,"16,90","5,60","11,28","30,60","915,49","0,00","0,00","6,10","141,54"
2018,3,21,"19,50","2,70","10,61","33,80","907,67","4,20","0,41","5,50","197,00"
2018,3,22,"14,70","10,50","12,55","51,50","902,28","2,20","0,03","3,50","88,54"
2018,3,23,"13,80","9,20","11,59","45,10","905,26","0,80","0,04","4,00","132,38"
2018,3,24,"15,40","4,10","8,95","35,40","920,09","0,00","0,00","5,30","193,06"
2018,3,25,"18,00","2,50","9,26","22,50","916,99","0,00","0,00","5,30","189,52"
2018,3,26,"17,90","2,80","10,71","20,90","913,55","0,00","0,00","5,50","187,85"
2018,3,27,"21,00","7,90","13,15","27,40","909,47","0,00","0,00","5,70","161,73"
2018,3,28,"16,70","13,60","14,75","33,80","908,48","0,00","0,00","2,10","41,81"
2018,3,29,"19,10","6,90","12,91","16,10","913,61","0,00","0,00","5,50","179,85"
2018,3,30,"20,10","10,40","14,54","22,50","913,35","0,00","0,00","5,10","179,88"
2018,3,31,"21,60","6,40","13,01","19,30","913,28","0,00","0,00","4,50","173,38"
2018,4,1,"23,00","4,40","12,69","30,60","915,19","0,00","0,00","4,70","171,40"
2018,4,2,"20,00","5,70","12,82","16,10","911,01","0,00","0,00","4,60","166,85"
2018,4,3,"19,30","11,60","15,04","27,40","908,35","0,00","0,00","4,10","88,90"
2018,4,4,"16,60","8,80","12,51","37,00","904,68","7,60","0,76","3,30","65,06"
2018,4,5,"10,80","3,90","8,33","43,50","914,73","0,00","0,00","4,40","173,10"
2018,4,6,"12,90","-0,70","5,91","24,10","913,75","0,00","0,00","3,80","160,23"
2018,4,7,"14,90","3,20","9,61","22,50","910,80","0,00","0,00","3,40","142,21"
2018,4,8,"12,50","7,80","10,29","25,70","913,15","10,40","0,78","2,10","64,52"
2018,4,9,"12,80","10,10","10,86","14,50","903,98","20,80","1,78","0,50","15,96"
2018,4,10,"13,00","4,00","9,23","24,10","899,17","58,80","4,24","0,60","15,00"
2018,4,11,"8,10","3,80","5,41","32,20","908,86","6,40","0,46","2,80","67,83"
2018,4,12,"10,80","3,20","6,46","30,60","921,56","0,00","0,00","4,20","154,29"
2018,4,13,"15,70","1,10","8,03","22,50","915,93","0,00","0,00","4,10","151,29"
2018,4,14,"14,20","6,80","9,37","14,50","915,97","0,00","0,00","4,70","114,58"
2018,4,15,"14,80","3,00","8,80","14,50","915,26","0,00","0,00","3,80","129,71"
2018,4,16,"16,80","6,80","11,85","35,40","911,19","0,00","0,00","3,00","82,75"
2018,4,17,"13,80","5,60","9,30","27,40","917,76","0,00","0,00","3,70","144,35"
2018,4,18,"14,80","3,80","9,13","24,10","915,33","0,00","0,00","3,70","136,35"
2018,4,19,"18,00","9,50","13,09","25,70","911,28","0,00","0,00","3,70","139,83"
2018,4,20,"15,00","12,20","13,34","27,40","909,60","0,00","0,00","1,50","39,85"
2018,4,21,"16,90","9,60","12,81","24,10","908,49","0,00","0,00","2,40","76,67"
2018,4,22,"14,40","6,20","10,84","38,60","911,33","1,00","0,08","2,40","78,02"
2018,4,23,"13,10","-1,10","5,06","17,70","918,97","0,00","0,00","2,80","125,06"
2018,4,24,"13,90","1,70","7,26","19,30","917,04","0,00","0,00","2,60","116,23"
2018,4,25,"15,80","4,40","8,67","17,70","912,02","0,00","0,00","3,00","106,25"
2018,4,26,"13,20","4,70","8,26","30,60","904,81","17,40","1,23","0,70","20,25"
2018,4,27,"10,00","4,20","7,47","33,80","915,68","0,20","0,00","3,30","130,44"
2018,4,28,"9,80","1,90","5,41","16,10","916,86","0,00","0,00","2,60","60,92"
2018,4,29,"13,90","3,40","8,52","20,90","915,09","0,00","0,00","2,80","104,54"
2018,4,30,"14,80","0,20","7,74","35,40","916,18","0,20","0,00","2,40","95,60"
2018,5,1,"12,10","6,60","8,60","14,50","913,38","0,40","0,00","1,00","24,46"
2018,5,2,"12,50","6,10","9,15","30,60","911,50","2,20","0,06","1,40","39,88"
2018,5,3,"10,70","5,30","8,44","32,20","914,05","0,00","0,00","2,20","64,85"
2018,5,4,"11,30","0,30","5,48","25,70","917,13","0,00","0,00","2,30","90,98"
2018,5,5,"12,70","4,80","10,36","29,00","915,04","0,00","0,00","1,30","37,04"
2018,5,6,"15,50","9,80","11,94","20,90","915,46","0,00","0,00","1,60","45,40"
2018,5,7,"14,30","9,20","11,09","12,90","915,78","0,20","0,00","1,90","52,85"
2018,5,8,"16,40","8,90","11,43","27,40","913,83","0,00","0,00","2,20","64,27"
2018,5,9,"11,60","8,90","9,83","16,10","914,01","0,00","0,00","1,50","35,92"
2018,5,10,"12,20","5,80","9,68","38,60","917,94","0,00","0,00","1,50","41,88"
2018,5,11,"14,10","9,80","11,41","37,00","915,90","0,00","0,00","2,80","63,60"
2018,5,12,"11,30","7,70","9,03","14,50","911,20","0,00","0,00","1,80","49,56"
2018,5,13,"10,50","6,40","8,35","16,10","905,34","0,00","0,00","0,90","30,52"
2018,5,14,"8,10","4,90","6,62","41,80","909,34","0,00","0,00","1,70","44,96"
2018,5,15,"9,00","2,30","5,52","19,30","918,03","0,80","0,05","1,80","64,06"
2018,5,16,"8,10","1,10","4,28","8,00","915,12","1,60","0,17","1,40","41,88"
2018,5,17,"10,20","4,80","7,32","25,70","910,89","4,20","0,34","1,10","35,04"
2018,5,18,"11,70","6,80","8,97","37,00","919,11","0,00","0,00","1,80","80,92"
2018,5,19,"12,20","4,50","7,00","32,20","917,97","1,20","0,07","1,80","51,48"
2018,5,20,"11,10","4,40","8,35","22,50","914,86","0,00","0,00","1,60","71,33"
2018,5,21,"10,10","2,50","5,46","25,70","919,39","0,20","0,00","1,90","66,58"
2018,5,22,"7,10","0,60","3,71","20,90","919,72","0,00","0,00","1,80","62,19"
2018,5,23,"10,10","-0,30","4,56","14,50","919,04","0,00","0,00","1,70","65,38"
2018,5,24,"11,30","2,50","7,18","16,10","917,07","0,00","0,00","1,60","50,79"
2018,5,25,"14,00","5,70","8,89","32,20","909,83","0,00","0,00","1,60","35,13"
2018,5,26,"11,10","6,10","8,43","27,40","908,55","0,00","0,00","0,90","26,42"
2018,5,27,"10,40","4,70","7,09","19,30","908,15","3,80","0,17","0,80","20,77"
2018,5,28,"9,30","3,60","6,39","27,40","908,71","5,80","0,34","0,80","28,38"
2018,5,29,"9,00","5,30","6,68","30,60","911,49","0,80","0,00","1,50","52,58"
2018,5,30,"6,20","1,40","3,80","25,70","919,25","0,00","0,00","1,10","28,77"
2018,5,31,"6,40","-0,80","1,84","14,50","926,17","0,00","0,00","1,50","52,02"
2018,6,1,"4,20","-2,40","0,06","25,70","923,95","0,00","0,00","1,20","33,02"
2018,6,2,"7,10","4,20","5,51","45,10","924,13","0,20","0,00","0,70","23,48"
2018,6,3,"6,80","2,00","5,40","49,90","923,59","0,00","0,00","1,00","30,44"
2018,6,4,"6,70","-0,50","3,11","16,10","923,65","0,00","0,00","1,40","51,25"
2018,6,5,"8,20","2,80","5,01","37,00","914,69","0,00","0,00","0,60","21,79"
2018,6,6,"8,20","3,60","6,11","40,20","918,31","0,20","0,00","1,50","63,25"
2018,6,7,"9,40","0,20","3,20","33,80","914,27","4,60","0,27","1,10","38,31"
2018,6,8,"6,80","1,90","3,95","41,80","909,45","0,00","0,00","1,50","40,65"
2018,6,9,"3,90","0,30","1,54","37,00","900,08","8,60","0,24","0,30","7,54"
2018,6,10,"2,40","0,30","1,10","29,00","904,69","4,80","0,05","0,50","16,38"
2018,6,11,"4,30","0,50","2,29","29,00","915,79","5,00","0,10","1,30","58,81"
2018,6,12,"5,10","1,90","3,44","35,40","924,08","0,00","0,00","1,30","50,60"
2018,6,13,"3,60","-3,30","1,03","19,30","925,93","0,00","0,00","1,40","58,48"
2018,6,14,"-3,30","-8,80","-6,32","22,50","928,13","0,00","0,00","1,40","50,23"
2018,6,15,"4,30","-5,90","-0,70","22,50","924,59","0,40","0,02","0,80","29,54"
2018,6,16,"11,90","3,80","7,08","24,10","919,08","0,00","0,00","1,00","34,27"
2018,6,17,"14,60","5,70","9,70","25,70","916,52","0,00","0,00","1,30","57,19"
2018,6,18,"11,30","5,80","8,16","19,30","912,88","0,00","0,00","1,20","43,85"
2018,6,19,"11,90","4,00","8,14","29,00","912,92","0,20","0,00","0,60","17,50"
2018,6,20,"5,70","0,40","3,59","40,20","915,68","0,80","0,00","1,10","39,19"
2018,6,21,"7,70","3,50","6,64","46,70","915,90","0,40","0,00","1,70","65,54"
2018,6,22,"8,90","3,90","6,61","53,10","909,93","0,40","0,00","0,90","29,23"
2018,6,23,"6,60","2,30","4,98","24,10","918,93","0,40","0,08","1,50","61,31"
2018,6,24,"7,70","-0,30","2,80","32,20","916,64","0,20","0,00","1,30","63,06"
2018,6,25,"7,70","2,90","5,28","40,20","911,30","0,40","0,00","0,60","23,15"
2018,6,26,"6,10","3,30","4,47","24,10","905,92","0,00","0,00","0,60","18,81"
